"brand","detail_link","id","image","name","price","quantity_rating","rating"
"Summer Fridays","https://www.sephora.com/product/summer-fridays-lip-butter-balm-P455936?skuId=2745289","P455936","https://www.sephora.com/productimages/sku/s2745289-main-zoom.jpg?imwidth=270&pb=allure-2024-bestofbeauty","Lip Butter Balm for Hydration & Shine","$24.00","14122","4.32"
"Tower 28 Beauty","https://www.sephora.com/product/shineon-lip-jelly-P448854?skuId=2549970","P448854","https://www.sephora.com/productimages/sku/s2549970-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","ShineOn Lip Jelly Hydrating Non-Sticky Lip Gloss","$16.00","5129","4.49"
"LANEIGE","https://www.sephora.com/product/glaze-craze-tinted-polypeptide-lip-serum-P515527?skuId=2842441","P515527","https://www.sephora.com/productimages/sku/s2842441-main-zoom.jpg?imwidth=270","Glaze Craze Tinted Polypeptide Lip Serum","$22.00","565","4.48"
"DIOR","https://www.sephora.com/product/dior-lip-glow-oil-P453814?skuId=2316172","P453814","https://www.sephora.com/productimages/sku/s2316172-main-zoom.jpg?imwidth=270","Lip Glow Oil","$40.00","3218","4.07"
"Glossier","https://www.sephora.com/product/glossier-balm-dotcom-lip-balm-skin-salve-P512013?skuId=2839397","P512013","https://www.sephora.com/productimages/sku/s2839397-main-zoom.jpg?imwidth=270","Balm Dotcom Lip Balm and Skin Salve","$16.00","1700","4.07"
"Gisou","https://www.sephora.com/product/gisou-lip-oil-P505233?skuId=2858033","P505233","https://www.sephora.com/productimages/sku/s2858033-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Honey Infused Hydrating Lip Oil","$28.00","2244","4.28"
"Fenty Beauty by Rihanna","https://www.sephora.com/product/gloss-bomb-universal-lip-luminizer-P67988453?skuId=2156578","P67988453","https://www.sephora.com/productimages/sku/s2156578-main-zoom.jpg?imwidth=270","Gloss Bomb Universal Lip Luminizer","$22.00","13533","4.61"
"LANEIGE","https://www.sephora.com/product/glowy-lip-balm-P443563?skuId=2743060","P443563","https://www.sephora.com/productimages/sku/s2743060-main-zoom.jpg?imwidth=270","Lip Glowy Lightweight Hydration Balm with Shea Butter","$19.00","6934","4.39"
"Fenty Beauty by Rihanna","https://www.sephora.com/product/fenty-beauty-rihanna-gloss-bomb-stix-high-shine-gloss-stick-P511572?skuId=2787497","P511572","https://www.sephora.com/productimages/sku/s2787497-main-zoom.jpg?imwidth=270","Gloss Bomb Stix High-Shine Gloss Stick","$25.00","1669","4.58"
"SEPHORA COLLECTION","https://www.sephora.com/product/cream-lip-stain-liquid-lipstick-P281411?skuId=2760981","P281411","https://www.sephora.com/productimages/sku/s2760981-main-zoom.jpg?imwidth=270&pb=2023-03-sephora-value-2023","Cream Lip Stain 10HR Liquid Lipstick","$16.00","986","4.04"
"Charlotte Tilbury","https://www.sephora.com/product/charlotte-tilbury-mini-pillow-talk-lip-duo-P458268?skuId=2801371","P458268","https://www.sephora.com/productimages/sku/s2801371-main-zoom.jpg?imwidth=270","Mini Pillow Talk Lipstick & Liner Set","$25.00","1452","3.60"
"OLEHENRIKSEN","https://www.sephora.com/product/pout-preserve-peptide-lip-treatment-P503878?skuId=2648467","P503878","https://www.sephora.com/productimages/sku/s2648467-main-zoom.jpg?imwidth=270&pb=allure-2024-bestofbeauty","Pout Preserve Hydrating Peptide Lip Treatment","$22.00","1998","4.41"
"Summer Fridays","https://www.sephora.com/product/summer-fridays-dream-lip-oil-P509439?skuId=2744696","P509439","https://www.sephora.com/productimages/sku/s2744696-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Dream Lip Oil for Moisturizing Sheer Coverage","$26.00","2238","3.88"
